[2019-09-08 14:13:58,689:saveToExcel  23@getAllData] Excel data: []
[2019-09-08 14:28:56,533:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:28:56,533:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:28:56,534:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:28:56,535:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:28:56,535:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:28:56,536:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:28:56,536:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
[2019-09-08 14:30:37,924:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:30:37,925:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:30:37,926:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:30:37,926:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:30:37,928:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:30:37,928:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:30:37,929:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
[2019-09-08 14:31:36,725:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:31:36,726:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:31:36,727:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:31:36,727:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:31:36,728:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:31:36,729:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:31:36,729:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
[2019-09-08 14:31:43,572:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:31:43,573:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:31:43,574:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:31:43,575:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:31:43,576:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:31:43,577:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:31:43,577:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
[2019-09-08 14:31:49,937:saveToExcel  18@getAllData] 1.test,테스트
[2019-09-08 14:31:49,938:saveToExcel  33@getData] 2.['테스트하다', '시험보다']
[2019-09-08 14:31:49,939:saveToExcel  41@getData] 3.['테스트', '시험']
[2019-09-08 14:31:49,939:saveToExcel  18@getAllData] 1.test2,테스트2
[2019-09-08 14:31:49,940:saveToExcel  33@getData] 2.['시험보다']
[2019-09-08 14:31:49,941:saveToExcel  41@getData] 3.['시험']
[2019-09-08 14:31:49,941:saveToExcel  24@getAllData] Excel data: [{'word': 'test', 'meaning': '테스트', 'examples': ['테스트하다', '시험보다']}, {'word': 'test2', 'meaning': '테스트2', 'examples': ['시험보다']}]
